D:\리소스\윈플텀프리소스\png\collision\jump&attack\48.png -128 -184
0 -70 200 3
Body 0 -80 120 19
2 17 -100 20 10
1 2 -82 30 25
2 -6 -105 10 10
2 -10 -68 10 10
2 -15 -63 10 10
2 -23 -58 10 10
2 -30 -51 10 10
2 -38 -45 10 10
2 1 -98 10 10
2 23 -85 10 10
2 30 -78 10 10
2 -3 -63 10 10
2 -20 -70 10 10
2 -32 -120 20 10
2 -10 -85 20 10
2 0 -78 20 10
2 10 -72 20 10
2 20 -65 20 10
2 30 -60 20 10
weapon 5 -80 135 10
2 52 -52 20 10
2 47 -63 20 10
2 42 -57 20 10
2 42 -72 20 10
2 35 -80 20 10
2 27 -90 20 10
2 25 -75 30 10
2 5 -90 30 10
2 -15 -100 30 10
2 -27 -110 20 10
bound 0 0 0 1
1 0 0 80 500
